numero_pedido,data_pedido,status_pedido,trimestre,mes,ano,porte_negocio,pais,territorio,estado,cidade,linha_produto,preco_sugerido,codigo_produto,quantidade_pedida,preco_unitario,valor_total
10318,11/2/2004 0:00,Shipped,4,11,2004,Large,USA,,PA,Allentown,Motorcycles,95,S10_1678,46,94.74,4358.04
10318,11/2/2004 0:00,Shipped,4,11,2004,Medium,USA,,PA,Allentown,Motorcycles,95,S10_1678,46,94.74,4358.04
10318,11/2/2004 0:00,Shipped,4,11,2004,Small,USA,,PA,Allentown,Motorcycles,95,S10_1678,46,94.74,4358.04
10329,11/15/2004 0:00,Shipped,4,11,2004,Medium,USA,,NY,NYC,Motorcycles,95,S10_1678,42,100.0,4396.14
10329,11/15/2004 0:00,Shipped,4,11,2004,Small,USA,,NY,NYC,Motorcycles,95,S10_1678,42,100.0,4396.14
10341,11/24/2004 0:00,Shipped,4,11,2004,Large,Austria,EMEA,,Salzburg,Motorcycles,95,S10_1678,41,100.0,7737.93
10341,11/24/2004 0:00,Shipped,4,11,2004,Medium,Austria,EMEA,,Salzburg,Motorcycles,95,S10_1678,41,100.0,7737.93
10341,11/24/2004 0:00,Shipped,4,11,2004,Small,Austria,EMEA,,Salzburg,Motorcycles,95,S10_1678,41,100.0,7737.93
10361,12/17/2004 0:00,Shipped,4,12,2004,Medium,Australia,APAC,NSW,Chatswood,Motorcycles,95,S10_1678,20,72.55,1451.0
10361,12/17/2004 0:00,Shipped,4,12,2004,Small,Australia,APAC,NSW,Chatswood,Motorcycles,95,S10_1678,20,72.55,1451.0
10375,2/3/2005 0:00,Shipped,1,2,2005,Large,France,EMEA,,Nantes,Motorcycles,95,S10_1678,21,34.91,733.11
10375,2/3/2005 0:00,Shipped,1,2,2005,Medium,France,EMEA,,Nantes,Motorcycles,95,S10_1678,21,34.91,733.11
10375,2/3/2005 0:00,Shipped,1,2,2005,Small,France,EMEA,,Nantes,Motorcycles,95,S10_1678,21,34.91,733.11
10388,3/3/2005 0:00,Shipped,1,3,2005,Large,USA,,MA,New Bedford,Motorcycles,95,S10_1678,42,76.36,3207.12
10388,3/3/2005 0:00,Shipped,1,3,2005,Medium,USA,,MA,New Bedford,Motorcycles,95,S10_1678,42,76.36,3207.12
10388,3/3/2005 0:00,Shipped,1,3,2005,Small,USA,,MA,New Bedford,Motorcycles,95,S10_1678,42,76.36,3207.12
10403,4/8/2005 0:00,Shipped,2,4,2005,Large,UK,EMEA,,Liverpool,Motorcycles,95,S10_1678,24,100.0,2434.56
10403,4/8/2005 0:00,Shipped,2,4,2005,Medium,UK,EMEA,,Liverpool,Motorcycles,95,S10_1678,24,100.0,2434.56
10403,4/8/2005 0:00,Shipped,2,4,2005,Small,UK,EMEA,,Liverpool,Motorcycles,95,S10_1678,24,100.0,2434.56
10417,5/13/2005 0:00,Disputed,2,5,2005,Large,Spain,EMEA,,Madrid,Motorcycles,95,S10_1678,66,100.0,7516.08
10417,5/13/2005 0:00,Disputed,2,5,2005,Medium,Spain,EMEA,,Madrid,Motorcycles,95,S10_1678,66,100.0,7516.08
10417,5/13/2005 0:00,Disputed,2,5,2005,Small,Spain,EMEA,,Madrid,Motorcycles,95,S10_1678,66,100.0,7516.08
10103,1/29/2003 0:00,Shipped,1,1,2003,Medium,Norway,EMEA,,Stavern,Classic Cars,214,S10_1949,26,100.0,5404.62
10103,1/29/2003 0:00,Shipped,1,1,2003,Small,Norway,EMEA,,Stavern,Classic Cars,214,S10_1949,26,100.0,5404.62
10112,3/24/2003 0:00,Shipped,1,3,2003,Large,Sweden,EMEA,,Lule,Classic Cars,214,S10_1949,29,100.0,7209.11
10112,3/24/2003 0:00,Shipped,1,3,2003,Small,Sweden,EMEA,,Lule,Classic Cars,214,S10_1949,29,100.0,7209.11
10126,5/28/2003 0:00,Shipped,2,5,2003,Large,Spain,EMEA,,Madrid,Classic Cars,214,S10_1949,38,100.0,7329.06
10126,5/28/2003 0:00,Shipped,2,5,2003,Medium,Spain,EMEA,,Madrid,Classic Cars,214,S10_1949,38,100.0,7329.06
10126,5/28/2003 0:00,Shipped,2,5,2003,Small,Spain,EMEA,,Madrid,Classic Cars,214,S10_1949,38,100.0,7329.06
10140,7/24/2003 0:00,Shipped,3,7,2003,Large,USA,,CA,Burlingame,Classic Cars,214,S10_1949,37,100.0,7374.1
10140,7/24/2003 0:00,Shipped,3,7,2003,Medium,USA,,CA,Burlingame,Classic Cars,214,S10_1949,37,100.0,7374.1
10140,7/24/2003 0:00,Shipped,3,7,2003,Small,USA,,CA,Burlingame,Classic Cars,214,S10_1949,37,100.0,7374.1
10150,9/19/2003 0:00,Shipped,3,9,2003,Large,Singapore,Japan,,Singapore,Classic Cars,214,S10_1949,45,100.0,10993.5
10150,9/19/2003 0:00,Shipped,3,9,2003,Medium,Singapore,Japan,,Singapore,Classic Cars,214,S10_1949,45,100.0,10993.5
10150,9/19/2003 0:00,Shipped,3,9,2003,Small,Singapore,Japan,,Singapore,Classic Cars,214,S10_1949,45,100.0,10993.5
10163,10/20/2003 0:00,Shipped,4,10,2003,Medium,USA,,NY,NYC,Classic Cars,214,S10_1949,21,100.0,4860.24
10174,11/6/2003 0:00,Shipped,4,11,2003,Large,Australia,APAC,Queensland,South Brisbane,Classic Cars,214,S10_1949,34,100.0,8014.82
10174,11/6/2003 0:00,Shipped,4,11,2003,Medium,Australia,APAC,Queensland,South Brisbane,Classic Cars,214,S10_1949,34,100.0,8014.82
10174,11/6/2003 0:00,Shipped,4,11,2003,Small,Australia,APAC,Queensland,South Brisbane,Classic Cars,214,S10_1949,34,100.0,8014.82
10183,11/13/2003 0:00,Shipped,4,11,2003,Medium,USA,,PA,Philadelphia,Classic Cars,214,S10_1949,23,100.0,5372.57
10183,11/13/2003 0:00,Shipped,4,11,2003,Small,USA,,PA,Philadelphia,Classic Cars,214,S10_1949,23,100.0,5372.57
10194,11/25/2003 0:00,Shipped,4,11,2003,Large,France,EMEA,,Lyon,Classic Cars,214,S10_1949,42,100.0,7290.36
10194,11/25/2003 0:00,Shipped,4,11,2003,Medium,France,EMEA,,Lyon,Classic Cars,214,S10_1949,42,100.0,7290.36
10194,11/25/2003 0:00,Shipped,4,11,2003,Small,France,EMEA,,Lyon,Classic Cars,214,S10_1949,42,100.0,7290.36
10206,12/5/2003 0:00,Shipped,4,12,2003,Large,Canada,,BC,Vancouver,Classic Cars,214,S10_1949,47,100.0,9064.89
10206,12/5/2003 0:00,Shipped,4,12,2003,Medium,Canada,,BC,Vancouver,Classic Cars,214,S10_1949,47,100.0,9064.89
10206,12/5/2003 0:00,Shipped,4,12,2003,Small,Canada,,BC,Vancouver,Classic Cars,214,S10_1949,47,100.0,9064.89
10215,1/29/2004 0:00,Shipped,1,1,2004,Medium,USA,,CA,Burbank,Classic Cars,214,S10_1949,35,100.0,6075.3
10215,1/29/2004 0:00,Shipped,1,1,2004,Small,USA,,CA,Burbank,Classic Cars,214,S10_1949,35,100.0,6075.3
10228,3/10/2004 0:00,Shipped,1,3,2004,Medium,USA,,MA,Cambridge,Classic Cars,214,S10_1949,29,100.0,6463.23
10228,3/10/2004 0:00,Shipped,1,3,2004,Small,USA,,MA,Cambridge,Classic Cars,214,S10_1949,29,100.0,6463.23
10245,5/4/2004 0:00,Shipped,2,5,2004,Medium,USA,,CT,New Haven,Classic Cars,214,S10_1949,34,100.0,6120.34
10245,5/4/2004 0:00,Shipped,2,5,2004,Small,USA,,CT,New Haven,Classic Cars,214,S10_1949,34,100.0,6120.34
10258,6/15/2004 0:00,Shipped,2,6,2004,Large,Japan,Japan,Tokyo,Minato-ku,Classic Cars,214,S10_1949,32,100.0,7680.64
10258,6/15/2004 0:00,Shipped,2,6,2004,Medium,Japan,Japan,Tokyo,Minato-ku,Classic Cars,214,S10_1949,32,100.0,7680.64
10258,6/15/2004 0:00,Shipped,2,6,2004,Small,Japan,Japan,Tokyo,Minato-ku,Classic Cars,214,S10_1949,32,100.0,7680.64
10270,7/19/2004 0:00,Shipped,3,7,2004,Medium,Australia,APAC,NSW,Chatswood,Classic Cars,214,S10_1949,21,100.0,4905.39
10270,7/19/2004 0:00,Shipped,3,7,2004,Small,Australia,APAC,NSW,Chatswood,Classic Cars,214,S10_1949,21,100.0,4905.39
10280,8/17/2004 0:00,Shipped,3,8,2004,Large,Italy,EMEA,,Torino,Classic Cars,214,S10_1949,34,100.0,8014.82
10280,8/17/2004 0:00,Shipped,3,8,2004,Medium,Italy,EMEA,,Torino,Classic Cars,214,S10_1949,34,100.0,8014.82
10280,8/17/2004 0:00,Shipped,3,8,2004,Small,Italy,EMEA,,Torino,Classic Cars,214,S10_1949,34,100.0,8014.82
10291,9/8/2004 0:00,Shipped,3,9,2004,Large,Sweden,EMEA,,Boras,Classic Cars,214,S10_1949,37,100.0,7136.19
10291,9/8/2004 0:00,Shipped,3,9,2004,Medium,Sweden,EMEA,,Boras,Classic Cars,214,S10_1949,37,100.0,7136.19
10291,9/8/2004 0:00,Shipped,3,9,2004,Small,Sweden,EMEA,,Boras,Classic Cars,214,S10_1949,37,100.0,7136.19
10304,10/11/2004 0:00,Shipped,4,10,2004,Large,France,EMEA,,Versailles,Classic Cars,214,S10_1949,47,100.0,10172.7
10304,10/11/2004 0:00,Shipped,4,10,2004,Medium,France,EMEA,,Versailles,Classic Cars,214,S10_1949,47,100.0,10172.7
10304,10/11/2004 0:00,Shipped,4,10,2004,Small,France,EMEA,,Versailles,Classic Cars,214,S10_1949,47,100.0,10172.7
10312,10/21/2004 0:00,Shipped,4,10,2004,Large,USA,,CA,San Rafael,Classic Cars,214,S10_1949,48,100.0,11623.7
10312,10/21/2004 0:00,Shipped,4,10,2004,Medium,USA,,CA,San Rafael,Classic Cars,214,S10_1949,48,100.0,11623.7
10312,10/21/2004 0:00,Shipped,4,10,2004,Small,USA,,CA,San Rafael,Classic Cars,214,S10_1949,48,100.0,11623.7
10322,11/4/2004 0:00,Shipped,4,11,2004,Large,USA,,NH,Nashua,Classic Cars,214,S10_1949,40,100.0,6000.4
10322,11/4/2004 0:00,Shipped,4,11,2004,Medium,USA,,NH,Nashua,Classic Cars,214,S10_1949,40,100.0,6000.4
10322,11/4/2004 0:00,Shipped,4,11,2004,Small,USA,,NH,Nashua,Classic Cars,214,S10_1949,40,100.0,6000.4
10333,11/18/2004 0:00,Shipped,4,11,2004,Large,USA,,CA,San Francisco,Classic Cars,214,S10_1949,26,100.0,3003.0
10333,11/18/2004 0:00,Shipped,4,11,2004,Medium,USA,,CA,San Francisco,Classic Cars,214,S10_1949,26,100.0,3003.0
10333,11/18/2004 0:00,Shipped,4,11,2004,Small,USA,,CA,San Francisco,Classic Cars,214,S10_1949,26,100.0,3003.0
10347,11/29/2004 0:00,Shipped,4,11,2004,Medium,Australia,APAC,Victoria,Melbourne,Classic Cars,214,S10_1949,30,100.0,3944.7
10347,11/29/2004 0:00,Shipped,4,11,2004,Small,Australia,APAC,Victoria,Melbourne,Classic Cars,214,S10_1949,30,100.0,3944.7
10357,12/10/2004 0:00,Shipped,4,12,2004,Medium,USA,,CA,San Rafael,Classic Cars,214,S10_1949,32,100.0,5691.84
10357,12/10/2004 0:00,Shipped,4,12,2004,Small,USA,,CA,San Rafael,Classic Cars,214,S10_1949,32,100.0,5691.84
10369,1/20/2005 0:00,Shipped,1,1,2005,Large,USA,,MA,Brickhaven,Classic Cars,214,S10_1949,41,100.0,4514.92
10369,1/20/2005 0:00,Shipped,1,1,2005,Medium,USA,,MA,Brickhaven,Classic Cars,214,S10_1949,41,100.0,4514.92
10369,1/20/2005 0:00,Shipped,1,1,2005,Small,USA,,MA,Brickhaven,Classic Cars,214,S10_1949,41,100.0,4514.92
10381,2/17/2005 0:00,Shipped,1,2,2005,Large,USA,,CA,San Francisco,Classic Cars,214,S10_1949,36,100.0,8254.8
10381,2/17/2005 0:00,Shipped,1,2,2005,Medium,USA,,CA,San Francisco,Classic Cars,214,S10_1949,36,100.0,8254.8
10381,2/17/2005 0:00,Shipped,1,2,2005,Small,USA,,CA,San Francisco,Classic Cars,214,S10_1949,36,100.0,8254.8
10391,3/9/2005 0:00,Shipped,1,3,2005,Large,Australia,APAC,NSW,North Sydney,Classic Cars,214,S10_1949,24,100.0,2416.56
10391,3/9/2005 0:00,Shipped,1,3,2005,Medium,Australia,APAC,NSW,North Sydney,Classic Cars,214,S10_1949,24,100.0,2416.56
10391,3/9/2005 0:00,Shipped,1,3,2005,Small,Australia,APAC,NSW,North Sydney,Classic Cars,214,S10_1949,24,100.0,2416.56
10411,5/1/2005 0:00,Shipped,2,5,2005,Medium,Canada,,Quebec,Montreal,Classic Cars,214,S10_1949,23,100.0,4140.23
10411,5/1/2005 0:00,Shipped,2,5,2005,Small,Canada,,Quebec,Montreal,Classic Cars,214,S10_1949,23,100.0,4140.23
10424,5/31/2005 0:00,In Process,2,5,2005,Large,Spain,EMEA,,Madrid,Classic Cars,214,S10_1949,50,100.0,12001.0
10424,5/31/2005 0:00,In Process,2,5,2005,Medium,Spain,EMEA,,Madrid,Classic Cars,214,S10_1949,50,100.0,12001.0
10424,5/31/2005 0:00,In Process,2,5,2005,Small,Spain,EMEA,,Madrid,Classic Cars,214,S10_1949,50,100.0,12001.0
10107,2/24/2003 0:00,Shipped,1,2,2003,Medium,USA,,NY,NYC,Motorcycles,118,S10_2016,39,99.91,3896.49
10107,2/24/2003 0:00,Shipped,1,2,2003,Small,USA,,NY,NYC,Motorcycles,118,S10_2016,39,99.91,3896.49
10120,4/29/2003 0:00,Shipped,2,4,2003,Large,Australia,APAC,Victoria,Melbourne,Motorcycles,118,S10_2016,29,96.34,2793.86
10120,4/29/2003 0:00,Shipped,2,4,2003,Medium,Australia,APAC,Victoria,Melbourne,Motorcycles,118,S10_2016,29,96.34,2793.86
10120,4/29/2003 0:00,Shipped,2,4,2003,Small,Australia,APAC,Victoria,Melbourne,Motorcycles,118,S10_2016,29,96.34,2793.86
10134,7/1/2003 0:00,Shipped,3,7,2003,Large,France,EMEA,,Paris,Motorcycles,118,S10_2016,27,100.0,3307.77
10134,7/1/2003 0:00,Shipped,3,7,2003,Medium,France,EMEA,,Paris,Motorcycles,118,S10_2016,27,100.0,3307.77
10134,7/1/2003 0:00,Shipped,3,7,2003,Small,France,EMEA,,Paris,Motorcycles,118,S10_2016,27,100.0,3307.77
10145,8/25/2003 0:00,Shipped,3,8,2003,Large,USA,,CA,Pasadena,Motorcycles,118,S10_2016,37,100.0,5192.95
10145,8/25/2003 0:00,Shipped,3,8,2003,Medium,USA,,CA,Pasadena,Motorcycles,118,S10_2016,37,100.0,5192.95
10145,8/25/2003 0:00,Shipped,3,8,2003,Small,USA,,CA,Pasadena,Motorcycles,118,S10_2016,37,100.0,5192.95
10159,10/10/2003 0:00,Shipped,4,10,2003,Large,USA,,CA,San Francisco,Motorcycles,118,S10_2016,37,100.0,5016.83
10159,10/10/2003 0:00,Shipped,4,10,2003,Medium,USA,,CA,San Francisco,Motorcycles,118,S10_2016,37,100.0,5016.83
10159,10/10/2003 0:00,Shipped,4,10,2003,Small,USA,,CA,San Francisco,Motorcycles,118,S10_2016,37,100.0,5016.83
10168,10/28/2003 0:00,Shipped,4,10,2003,Medium,USA,,CA,Burlingame,Motorcycles,118,S10_2016,27,100.0,3660.93
10168,10/28/2003 0:00,Shipped,4,10,2003,Small,USA,,CA,Burlingame,Motorcycles,118,S10_2016,27,100.0,3660.93
10180,11/11/2003 0:00,Shipped,4,11,2003,Large,France,EMEA,,Lille,Motorcycles,118,S10_2016,42,100.0,4695.6
10180,11/11/2003 0:00,Shipped,4,11,2003,Medium,France,EMEA,,Lille,Motorcycles,118,S10_2016,42,100.0,4695.6
10180,11/11/2003 0:00,Shipped,4,11,2003,Small,France,EMEA,,Lille,Motorcycles,118,S10_2016,42,100.0,4695.6
10188,11/18/2003 0:00,Shipped,4,11,2003,Large,Norway,EMEA,,Bergen,Motorcycles,118,S10_2016,38,96.34,3660.92
10188,11/18/2003 0:00,Shipped,4,11,2003,Medium,Norway,EMEA,,Bergen,Motorcycles,118,S10_2016,38,96.34,3660.92
10188,11/18/2003 0:00,Shipped,4,11,2003,Small,Norway,EMEA,,Bergen,Motorcycles,118,S10_2016,38,96.34,3660.92
10201,12/1/2003 0:00,Shipped,4,12,2003,Large,USA,,CA,San Francisco,Motorcycles,118,S10_2016,24,100.0,3025.92
10201,12/1/2003 0:00,Shipped,4,12,2003,Medium,USA,,CA,San Francisco,Motorcycles,118,S10_2016,24,100.0,3025.92
10201,12/1/2003 0:00,Shipped,4,12,2003,Small,USA,,CA,San Francisco,Motorcycles,118,S10_2016,24,100.0,3025.92
10210,1/12/2004 0:00,Shipped,1,1,2004,Medium,Japan,Japan,Osaka,Osaka,Motorcycles,118,S10_2016,23,100.0,3009.09
10210,1/12/2004 0:00,Shipped,1,1,2004,Small,Japan,Japan,Osaka,Osaka,Motorcycles,118,S10_2016,23,100.0,3009.09
10223,2/20/2004 0:00,Shipped,1,2,2004,Large,Australia,APAC,Victoria,Melbourne,Motorcycles,118,S10_2016,47,100.0,5422.39
10223,2/20/2004 0:00,Shipped,1,2,2004,Medium,Australia,APAC,Victoria,Melbourne,Motorcycles,118,S10_2016,47,100.0,5422.39
10223,2/20/2004 0:00,Shipped,1,2,2004,Small,Australia,APAC,Victoria,Melbourne,Motorcycles,118,S10_2016,47,100.0,5422.39
10236,4/3/2004 0:00,Shipped,2,4,2004,Medium,USA,,PA,Philadelphia,Motorcycles,118,S10_2016,22,100.0,2852.08
10236,4/3/2004 0:00,Shipped,2,4,2004,Small,USA,,PA,Philadelphia,Motorcycles,118,S10_2016,22,100.0,2852.08
10251,5/18/2004 0:00,Shipped,2,5,2004,Large,USA,,NJ,Newark,Motorcycles,118,S10_2016,44,100.0,5756.52
10251,5/18/2004 0:00,Shipped,2,5,2004,Medium,USA,,NJ,Newark,Motorcycles,118,S10_2016,44,100.0,5756.52
10251,5/18/2004 0:00,Shipped,2,5,2004,Small,USA,,NJ,Newark,Motorcycles,118,S10_2016,44,100.0,5756.52
10263,6/28/2004 0:00,Shipped,2,6,2004,Large,USA,,CT,Bridgewater,Motorcycles,118,S10_2016,40,100.0,4472.0
10263,6/28/2004 0:00,Shipped,2,6,2004,Medium,USA,,CT,Bridgewater,Motorcycles,118,S10_2016,40,100.0,4472.0
10263,6/28/2004 0:00,Shipped,2,6,2004,Small,USA,,CT,Bridgewater,Motorcycles,118,S10_2016,40,100.0,4472.0
10275,7/23/2004 0:00,Shipped,3,7,2004,Medium,France,EMEA,,Nantes,Motorcycles,118,S10_2016,22,100.0,2904.44
10275,7/23/2004 0:00,Shipped,3,7,2004,Small,France,EMEA,,Nantes,Motorcycles,118,S10_2016,22,100.0,2904.44
10285,8/27/2004 0:00,Shipped,3,8,2004,Medium,USA,,MA,Cambridge,Motorcycles,118,S10_2016,47,100.0,6484.59
10285,8/27/2004 0:00,Shipped,3,8,2004,Small,USA,,MA,Cambridge,Motorcycles,118,S10_2016,47,100.0,6484.59
10298,9/27/2004 0:00,Shipped,3,9,2004,Medium,France,EMEA,,Nantes,Motorcycles,118,S10_2016,39,96.34,3757.26
10298,9/27/2004 0:00,Shipped,3,9,2004,Small,France,EMEA,,Nantes,Motorcycles,118,S10_2016,39,96.34,3757.26
10308,10/15/2004 0:00,Shipped,4,10,2004,Medium,USA,,NY,White Plains,Motorcycles,118,S10_2016,34,100.0,4043.96
10308,10/15/2004 0:00,Shipped,4,10,2004,Small,USA,,NY,White Plains,Motorcycles,118,S10_2016,34,100.0,4043.96
10318,11/2/2004 0:00,Shipped,4,11,2004,Large,USA,,PA,Allentown,Motorcycles,118,S10_2016,45,100.0,5566.5
10318,11/2/2004 0:00,Shipped,4,11,2004,Medium,USA,,PA,Allentown,Motorcycles,118,S10_2016,45,100.0,5566.5
10318,11/2/2004 0:00,Shipped,4,11,2004,Small,USA,,PA,Allentown,Motorcycles,118,S10_2016,45,100.0,5566.5
10329,11/15/2004 0:00,Shipped,4,11,2004,Medium,USA,,NY,NYC,Motorcycles,118,S10_2016,20,100.0,3176.0
10329,11/15/2004 0:00,Shipped,4,11,2004,Small,USA,,NY,NYC,Motorcycles,118,S10_2016,20,100.0,3176.0
10339,11/23/2004 0:00,Shipped,4,11,2004,Large,Japan,Japan,Tokyo,Minato-ku,Motorcycles,118,S10_2016,40,68.92,2756.8
10339,11/23/2004 0:00,Shipped,4,11,2004,Medium,Japan,Japan,Tokyo,Minato-ku,Motorcycles,118,S10_2016,40,68.92,2756.8
10339,11/23/2004 0:00,Shipped,4,11,2004,Small,Japan,Japan,Tokyo,Minato-ku,Motorcycles,118,S10_2016,40,68.92,2756.8
10361,12/17/2004 0:00,Shipped,4,12,2004,Medium,Australia,APAC,NSW,Chatswood,Motorcycles,118,S10_2016,26,51.15,1329.9
